gpsidx,accidx,date,time,speed,kspeed,accSpeed,d_sec,accdist,sentime,azimuth,pitch,roll,light,gps_lat,gps_lon,alti,accuracy,acc_x,acc_y,acc_z,kacc_x,kacc_y,kacc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,user_name
6,27,2017-03-03,06:17:11,0.351756,0.802407,3.613564,1,2.214956,06:17:11,73.01741,15.9004755,89.323135,9.0,33.940179,-118.133367,23.32071,6,10.734207,0.1268158,-3.0580292,9.86700748206267,0.1969557806489687,-0.958523693680803,-24.642944,47.96219,-20.952225,0.001159668,-0.03327942,-0.012634277,wonhee
7,28,2017-03-03,06:17:12,2.995087,1.403932,4.922645,1,3.553880,06:17:12,73.57242,15.736869,88.91882,7.0,33.940171,-118.133358,23.677416,6,9.509079,0.17945862,-2.6799622,9.770310869796258,0.19222881354848464,-1.423581044877774,-24.391937,47.87712,-20.583344,0.008361816,-0.043670654,-0.0072631836,wonhee
7,29,2017-03-03,06:17:12,2.995087,1.403932,5.774912,1,3.553880,06:17:12,75.80499,9.857038,87.923134,7.0,33.940171,-118.133358,23.677416,6,9.633499,0.34934998,-1.6749725,9.733350291392751,0.23467607488721254,-1.491496011618993,-24.217987,48.152542,-20.583725,0.009460449,0.010803223,0.0033721924,wonhee
7,30,2017-03-03,06:17:12,2.995087,1.403932,6.697876,1,3.553880,06:17:12,75.96893,10.170743,88.65619,7.0,33.940171,-118.133358,23.677416,6,10.200607,0.23928833,-1.8305054,9.85958259725515,0.2359221042911524,-1.5830815063075374,-24.55101,48.233414,-20.031738,0.012634277,0.014724731,0.0022735596,wonhee
7,31,2017-03-03,06:17:12,2.995087,1.403932,8.336512,1,3.553880,06:17:12,72.18531,17.89803,90.55915,7.0,33.940171,-118.133358,23.677416,6,10.54277,-0.102890015,-3.4049835,10.04414992069994,0.1443899042579221,-2.075279654580666,-25.141907,48.130035,-20.584488,0.01789856,-0.011169434,-0.0015106201,wonhee
7,32,2017-03-03,06:17:12,2.995087,1.403932,10.031709,1,3.553880,06:17:12,72.42648,19.40253,88.80965,7.0,33.940171,-118.133358,23.677416,6,10.018753,0.20817566,-3.529419,10.037288784756564,0.1616220225358857,-2.4681244347574482,-25.398636,47.943497,-20.584488,0.028884888,-0.026931763,-0.007751465,wonhee
8,33,2017-03-03,06:17:13,10.161236,3.789198,11.551791,1,8.096361,06:17:13,71.91036,17.628012,90.609665,7.0,33.940156,-118.13332,23.917864,4,9.894318,-0.105285645,-3.144165,9.998664338976857,0.08951525785328919,-2.6507609936988663,-25.740814,47.66426,-20.492172,0.019973755,-0.0040893555,0.008010864,wonhee
8,34,2017-03-03,06:17:13,10.161236,3.789198,12.989212,1,8.096361,06:17:13,72.883766,16.775427,88.29764,7.0,33.940156,-118.13332,23.917864,4,9.82254,0.29193115,-2.9623108,9.95108325463446,0.14419916862010163,-2.7349281093660527,-25.405502,47.673416,-20.952225,0.0099487305,0.002746582,0.0019073486,wonhee
8,35,2017-03-03,06:17:13,10.161236,3.789198,14.165597,1,8.096361,06:17:13,74.0842,13.412983,87.85003,7.0,33.940156,-118.13332,23.917864,4,10.00679,0.3756714,-2.388031,9.966132777955973,0.20673282987738723,-2.641211700279273,-25.405502,47.673416,-20.86029,0.003829956,0.00592041,0.0030059814,wonhee
8,36,2017-03-03,06:17:13,10.161236,3.789198,15.705259,1,8.096361,06:17:13,71.80504,17.810722,89.7789,9.0,33.940156,-118.13332,23.917864,4,9.920639,0.0382843,-3.1872406,9.953842351231888,0.16122541312159605,-2.788724799493521,-25.069809,47.68219,-21.228027,0.0006713867,0.0067749023,0.00044250488,wonhee
8,37,2017-03-03,06:17:13,10.161236,3.789198,17.011079,1,8.096361,06:17:13,71.64404,16.111628,90.0,7.0,33.940156,-118.13332,23.917864,4,9.253052,0.0,-2.6727905,9.76451948456313,0.11766936624055772,-2.757404428305812,-24.996185,47.23358,-21.59462,-0.0049591064,-6.1035156e-05,-0.005065918,wonhee
